label,text
0,i love to give massages. i use lots of baby oil... what is your fave position?
0,hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love pete x x x
0,"hey babe, how's it going ? did you ever figure out where your going for new years ?"
0,thank you princess! i want to see your nice juicy booty...
0,good morning my dear shijutta........... have a great &amp; successful day.
1,"free nokia or motorola with upto 12mths 1/2price linerental, 500 free x-net mins&100txt/mth free b'tooth*. call mobileupd8 on 08001950382 or call 2optout/d3wv"
0,"jolly good! by the way,  will give u tickets for sat eve 7.30. speak before then x"
1,"auction round 4. the highest bid is now £54. next maximum bid is £71. to bid, send bids e. g. 10 (to bid £10) to 83383. good luck."
0,anytime...
1,"free ring tone just text ""polys"" to 87131. then every week get a new tone. 0870737910216yrs only £1.50/wk."
0,"send ur birthdate with month and year, i will tel u ur life partner's name. and the method of calculation. reply must."
0,i know i'm lacking on most of this particular dramastorm's details but for the most part i'm not worried about that
1,"free msg: get gnarls barkleys ""crazy"" ringtone totally free just reply go to this message right now!"
0,"geeeee ... your internet is really bad today, eh ?"
0,got but got 2 colours lor. one colour is quite light n e other is darker lor. actually i'm done she's styling my hair now.
0,i think i've fixed it can you send a test message?
0,i forgot 2 ask ü all smth.. there's a card on da present lei... how? ü all want 2 write smth or sign on it?
0,thanks for understanding. i've been trying to tell sura that.
0,aiyo u so poor thing... then u dun wan 2 eat? u bathe already?
0,ü mean it's confirmed... i tot they juz say oni... ok then...
0,ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
0,oic cos me n my sis got no lunch today my dad went out... so dunno whether 2 eat in sch or wat...
0,why are u up so early?
0,yo dude guess who just got arrested the other day
1,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066368470"
0,dude how do you like the buff wind.
0,4 oclock at mine. just to bash out a flat plan.
0,"my planning usually stops at ""find hella weed, smoke hella weed"""
0,now press conference da:)
0,a bloo bloo bloo i'll miss the first bowl
0,"i've got  &lt;#&gt; , any way i could pick up?"
1,great new offer - double mins & double txt on best orange tariffs and get latest camera phones 4 free! call mobileupd8 free on 08000839402 now! or 2stoptxt t&cs
